Date,Region,Category,CustomerSegment,UnitsSold,Revenue,MarketingSpend,DiscountPct,Profit,ProfitMargin
2024-04-01,South,Sports,Corporate,165,15119.02,1464.97,4.96,3077.61,20.36
2024-04-01,South,Books,Consumer,202,8404.0,664.66,16.29,2490.42,29.63
2024-04-01,East,Electronics,Corporate,1045,44034.69,1934.94,10.56,6957.98,15.8
2024-04-01,East,Clothing,Small Business,527,27454.35,2219.29,11.46,8172.69,29.77
2024-04-01,East,Home & Garden,Corporate,345,23514.12,1062.03,12.06,5515.15,23.45
2024-04-01,East,Sports,Small Business,281,19652.97,1743.27,22.77,2922.04,14.87
2024-04-01,East,Books,Corporate,240,11105.49,659.85,7.96,2914.17,26.24
2024-04-01,West,Electronics,Corporate,676,36210.12,1645.44,13.71,7066.72,19.52
2024-04-01,West,Clothing,Small Business,277,23388.8,2426.94,14.46,5543.48,23.7
2024-04-01,West,Home & Garden,Consumer,241,22701.03,2284.28,17.9,4590.9,20.22
2024-04-01,West,Sports,Consumer,163,13979.78,1508.33,18.77,2519.93,18.03
2024-04-01,West,Books,Small Business,110,8902.1,526.46,12.03,2807.11,31.53
2024-05-01,North,Electronics,Consumer,1089,46560.95,3330.88,15.11,6437.8,13.83
2024-05-01,North,Clothing,Corporate,802,33525.19,2917.33,4.33,11577.66,34.53
2024-05-01,North,Home & Garden,Small Business,330,28439.53,2173.11,12.58,8363.71,29.41
2024-05-01,North,Sports,Consumer,306,23606.84,1611.02,15.23,5556.54,23.54
2024-05-01,North,Books,Consumer,183,11226.38,757.3,3.21,3730.51,33.23
2024-05-01,South,Electronics,Small Business,486,42190.39,4002.0,20.14,3297.93,7.82
2024-05-01,South,Clothing,Corporate,245,22975.2,1657.42,11.72,5119.1,22.28
2024-05-01,South,Home & Garden,Consumer,452,20750.99,1178.87,13.83,4156.52,20.03
2024-05-01,South,Sports,Consumer,375,17014.25,1475.63,16.78,2956.48,17.38
2024-05-01,South,Books,Consumer,169,8007.67,370.03,11.46,2278.57,28.45
2024-05-01,East,Electronics,Small Business,615,51031.55,2181.69,12.18,6250.31,12.25
2024-05-01,East,Clothing,Corporate,359,29903.28,3123.73,11.44,8344.68,27.91
2024-05-01,East,Home & Garden,Consumer,345,22119.63,1458.41,9.12,4361.58,19.72
2024-05-01,East,Sports,Consumer,319,20966.71,1935.71,14.88,4291.66,20.47
2024-05-01,East,Books,Consumer,189,9353.29,722.85,7.22,2858.77,30.56
2024-05-01,West,Electronics,Small Business,794,33499.1,2095.22,8.77,4061.84,12.13
2024-05-01,West,Clothing,Corporate,441,28601.28,2724.04,16.41,7810.91,27.31
2024-05-01,West,Home & Garden,Consumer,354,18435.73,1699.42,6.81,4495.52,24.38
2024-05-01,West,Sports,Consumer,185,17400.33,1129.75,21.55,2321.23,13.34
2024-05-01,West,Books,Consumer,183,8464.8,429.17,8.75,2616.86,30.91
2024-06-01,North,Electronics,Small Business,516,48487.49,3332.44,7.85,7238.98,14.93
2024-06-01,North,Clothing,Corporate,660,29862.12,3003.7,9.12,9415.92,31.53
2024-06-01,North,Home & Garden,Consumer,492,25501.05,2040.41,15.76,5172.9,20.29
2024-06-01,North,Sports,Corporate,517,21644.91,1510.39,3.86,4975.21,22.99
2024-06-01,North,Books,Consumer,170,10878.75,552.7,3.69,3474.32,31.94
2024-06-01,South,Electronics,Corporate,797,40051.3,1978.9,17.03,4469.68,11.16
2024-06-01,South,Clothing,Corporate,464,27727.42,2024.39,19.21,7755.05,27.97
2024-06-01,South,Home & Garden,Consumer,225,20560.51,2211.32,13.86,4324.15,21.03
2024-06-01,South,Sports,Consumer,201,17218.45,1381.15,11.22,3727.16,21.65
2024-06-01,South,Books,Consumer,110,8268.28,425.45,13.97,2442.89,29.55
2024-06-01,East,Electronics,Consumer,562,47173.33,3182.84,10.37,4139.3,8.77
2024-06-01,East,Clothing,Small Business,552,27028.98,1651.37,12.09,9028.13,33.4
2024-06-01,East,Home & Garden,Consumer,340,24632.74,2548.33,0.94,5488.41,22.28
2024-06-01,East,Sports,Corporate,233,20629.36,1971.79,15.16,5417.87,26.26
2024-06-01,East,Books,Corporate,114,9102.72,522.44,7.75,2993.84,32.89
2024-06-01,West,Electronics,Corporate,873,36355.56,3685.49,17.19,4113.14,11.31
2024-06-01,West,Clothing,Corporate,560,24655.93,2362.3,7.11,7924.2,32.14
2024-06-01,West,Home & Garden,Consumer,366,18339.29,1556.65,14.07,5210.24,28.41
2024-06-01,West,Sports,Consumer,151,13894.78,1005.15,19.48,2639.43,19.0
2024-06-01,West,Books,Small Business,96,7370.68,610.31,12.55,2462.78,33.41
2024-07-01,North,Electronics,Small Business,539,38458.77,3089.78,14.36,7104.24,18.47
2024-07-01,North,Clothing,Corporate,279,26250.64,2750.8,7.05,7745.79,29.51
2024-07-01,North,Home & Garden,Corporate,366,21600.87,1758.08,17.47,4597.68,21.28
2024-07-01,North,Sports,Small Business,253,16994.12,685.28,6.94,2881.11,16.95
2024-07-01,North,Books,Consumer,127,7889.63,722.89,5.52,2569.17,32.56
2024-07-01,South,Electronics,Consumer,332,29836.67,1561.86,0.0,5322.0,17.84
2024-07-01,South,Clothing,Consumer,347,25954.39,1061.97,17.63,6723.09,25.9
2024-07-01,South,Home & Garden,Corporate,415,16192.41,1777.62,24.87,3192.76,19.72
2024-07-01,South,Sports,Corporate,318,14765.33,802.64,11.28,3029.59,20.52
2024-07-01,South,Books,Consumer,105,6951.55,310.04,10.73,2523.03,36.29
2024-07-01,East,Electronics,Corporate,898,41221.76,2096.82,1.63,5477.36,13.29
2024-07-01,East,Clothing,Consumer,640,23434.99,1607.91,16.68,7220.59,30.81
2024-07-01,East,Home & Garden,Corporate,504,20768.6,859.4,6.35,4884.78,23.52
2024-07-01,East,Sports,Small Business,213,16693.94,946.09,10.8,3278.03,19.64
2024-07-01,East,Books,Consumer,165,7800.54,676.82,17.8,2452.51,31.44
2024-07-01,West,Electronics,Small Business,520,31334.34,1440.93,13.63,3182.77,10.16
2024-07-01,West,Clothing,Corporate,355,20524.26,1193.68,17.25,4547.48,22.16
2024-07-01,West,Home & Garden,Small Business,335,17645.93,1211.55,1.59,5578.28,31.61
2024-07-01,West,Sports,Consumer,205,13169.72,1327.41,14.0,2652.91,20.14
2024-07-01,West,Books,Consumer,95,6967.79,289.67,13.54,1798.23,25.81
2024-08-01,North,Electronics,Consumer,625,41616.19,4532.34,11.08,5433.7,13.06
2024-08-01,North,Clothing,Corporate,499,25665.82,2669.27,12.98,6460.37,25.17
2024-08-01,North,Home & Garden,Corporate,653,23275.56,1267.34,14.36,5460.26,23.46
2024-08-01,North,Sports,Consumer,287,18978.24,1642.62,2.8,3667.08,19.32
2024-08-01,North,Books,Consumer,129,9161.83,419.57,8.37,2808.47,30.65
2024-08-01,South,Electronics,Consumer,436,30098.45,1953.3,7.12,5726.15,19.02
2024-08-01,South,Clothing,Consumer,491,23502.31,2145.29,12.92,6203.63,26.4
2024-08-01,South,Home & Garden,Consumer,433,17938.4,1466.98,17.75,3509.93,19.57
2024-08-01,South,Sports,Corporate,237,14494.32,1278.23,20.85,2879.59,19.87
2024-08-01,South,Books,Consumer,122,6940.48,615.13,15.11,1787.63,25.76
2024-08-01,East,Electronics,Corporate,552,37261.79,1973.36,15.1,5443.79,14.61
2024-08-01,East,Clothing,Consumer,524,26210.68,2257.13,16.17,7477.03,28.53
2024-08-01,East,Home & Garden,Small Business,294,20309.84,1069.12,13.04,4030.55,19.85
2024-08-01,East,Sports,Corporate,201,17418.51,1880.75,11.8,3919.83,22.5
2024-08-01,East,Books,Consumer,122,8635.44,367.79,9.42,2665.81,30.87
2024-08-01,West,Electronics,Consumer,805,31335.3,2780.7,18.28,3081.06,9.83
2024-08-01,West,Clothing,Consumer,329,23899.54,1489.24,12.98,6908.48,28.91
2024-08-01,West,Home & Garden,Corporate,197,18027.8,751.9,12.41,4772.5,26.47
2024-08-01,West,Sports,Consumer,182,13200.16,971.42,19.05,2237.36,16.95
2024-08-01,West,Books,Consumer,137,7685.52,704.23,9.9,2396.73,31.19
2024-09-01,North,Electronics,Consumer,1231,44420.0,1907.68,8.16,6861.84,15.45
2024-09-01,North,Clothing,Consumer,358,32803.34,2872.76,16.92,8621.23,26.28
2024-09-01,North,Home & Garden,Corporate,471,23027.61,2518.8,13.91,5371.36,23.33
2024-09-01,North,Sports,Consumer,446,21515.5,1632.77,8.81,4252.24,19.76
2024-09-01,North,Books,Corporate,105,9822.24,432.66,17.95,3327.58,33.88
2024-09-01,South,Electronics,Consumer,786,38078.18,1933.33,9.24,6521.7,17.13
2024-09-01,South,Clothing,Small Business,341,29893.09,1387.16,20.98,7134.83,23.87
2024-09-01,South,Home & Garden,Corporate,273,20251.76,2164.82,13.43,4855.27,23.97
2024-09-01,South,Sports,Consumer,333,16857.94,1114.11,8.01,3624.13,21.5
2024-09-01,South,Books,Consumer,114,9777.48,541.8,9.41,3211.68,32.85
2024-09-01,East,Electronics,Consumer,949,53015.02,5181.03,9.35,9140.84,17.24
2024-09-01,East,Clothing,Small Business,392,33743.46,3425.1,14.95,10406.53,30.84
2024-09-01,East,Home & Garden,Consumer,325,24616.25,2186.49,14.54,6593.6,26.79
2024-09-01,East,Sports,Corporate,361,19880.85,2021.11,11.16,4193.03,21.09
2024-09-01,East,Books,Corporate,149,9728.72,955.84,10.03,3167.99,32.56
2024-09-01,West,Electronics,Consumer,464,37940.42,2207.61,15.23,7558.32,19.92
2024-09-01,West,Clothing,Consumer,463,25702.76,2760.72,19.89,7160.15,27.86
2024-09-01,West,Home & Garden,Corporate,379,20095.59,2122.21,9.77,4953.95,24.65
2024-09-01,West,Sports,Corporate,227,16372.33,1051.3,8.5,3237.37,19.77
2024-09-01,West,Books,Consumer,110,8344.43,348.14,19.83,2407.74,28.85
2024-10-01,North,Electronics,Consumer,516,42704.87,2197.32,1.01,6249.65,14.63
2024-10-01,North,Clothing,Consumer,370,34024.73,2981.76,5.6,11207.01,32.94
2024-10-01,North,Home & Garden,Small Business,363,26616.01,1846.64,11.5,5049.64,18.97
2024-10-01,North,Sports,Consumer,409,19554.2,1342.46,10.79,4266.34,21.82
2024-10-01,North,Books,Corporate,147,9313.73,936.08,19.22,2818.57,30.26
2024-10-01,South,Electronics,Consumer,965,41357.96,4100.01,15.21,7205.95,17.42
2024-10-01,South,Clothing,Consumer,423,27018.2,2587.2,15.55,6837.58,25.31
2024-10-01,South,Home & Garden,Corporate,468,23911.17,1779.27,12.64,5060.73,21.16
2024-10-01,South,Sports,Corporate,419,16489.62,673.0,2.55,3607.5,21.88
2024-10-01,South,Books,Consumer,84,6892.07,416.39,15.93,2170.84,31.5
2024-10-01,East,Electronics,Corporate,432,40688.51,2316.93,11.76,5883.87,14.46
2024-10-01,East,Clothing,Consumer,489,26675.53,2378.72,10.9,7685.78,28.81
2024-10-01,East,Home & Garden,Corporate,570,22643.22,958.36,8.59,4849.75,21.42
2024-10-01,East,Sports,Consumer,410,18474.98,1630.65,9.14,4244.54,22.97
2024-10-01,East,Books,Corporate,115,10507.91,443.55,16.62,3172.54,30.19
2024-10-01,West,Electronics,Corporate,647,35843.66,3619.06,16.48,5363.19,14.96
2024-10-01,West,Clothing,Consumer,378,27855.87,1996.21,12.99,9279.2,33.31
2024-10-01,West,Home & Garden,Consumer,230,20113.49,889.51,8.74,4611.11,22.93
2024-10-01,West,Sports,Consumer,260,16877.59,1453.32,9.13,4462.97,26.44
2024-10-01,West,Books,Corporate,178,8382.74,919.95,12.19,2657.59,31.7
2024-11-01,North,Electronics,Consumer,872,68592.97,6912.74,3.66,10599.89,15.45
2024-11-01,North,Clothing,Corporate,857,52569.16,3468.13,13.12,16404.0,31.2
2024-11-01,North,Home & Garden,Small Business,661,39850.71,4106.58,11.81,10127.95,25.41
2024-11-01,North,Sports,Consumer,332,26229.77,1435.98,19.38,5855.92,22.33
2024-11-01,North,Books,Consumer,317,15600.63,820.25,13.3,4825.64,30.93
2024-11-01,South,Electronics,Corporate,1119,63282.86,6388.56,15.86,2972.28,4.7
2024-11-01,South,Clothing,Corporate,742,37451.65,4039.49,6.4,9810.63,26.2
2024-11-01,South,Home & Garden,Consumer,674,33119.31,1628.18,11.77,8247.21,24.9
2024-11-01,South,Sports,Corporate,294,24947.38,1586.41,5.59,4404.4,17.65
2024-11-01,South,Books,Corporate,322,11972.9,1071.27,10.26,3696.66,30.88
2024-11-01,East,Electronics,Consumer,748,62299.64,6173.39,22.38,8956.03,14.38
2024-11-01,East,Clothing,Small Business,650,43444.37,2078.13,11.64,12336.35,28.4
2024-11-01,East,Home & Garden,Consumer,542,35458.18,2203.05,11.6,9314.89,26.27
2024-11-01,East,Sports,Consumer,649,28164.64,2143.1,22.44,4745.37,16.85
2024-11-01,East,Books,Small Business,198,14917.29,807.47,6.8,4637.57,31.09
2024-11-01,West,Electronics,Corporate,689,63202.64,3311.85,16.35,9216.17,14.58
2024-11-01,West,Clothing,Consumer,629,43565.66,4392.44,11.71,13855.19,31.8
2024-11-01,West,Home & Garden,Corporate,759,31436.37,2707.36,20.17,5504.77,17.51
2024-11-01,West,Sports,Small Business,285,23369.47,2359.21,13.64,5783.47,24.75
2024-11-01,West,Books,Corporate,146,12171.14,831.17,17.95,3156.34,25.93
2024-12-01,North,Electronics,Consumer,1620,68367.81,6648.66,18.88,8079.18,11.82
2024-12-01,North,Clothing,Consumer,802,46748.19,3069.13,19.97,10970.57,23.47
2024-12-01,North,Home & Garden,Corporate,884,34809.78,1946.18,5.38,10551.08,30.31
2024-12-01,North,Sports,Consumer,490,32439.77,2350.09,16.91,5823.87,17.95
2024-12-01,North,Books,Corporate,199,13339.18,1075.3,3.77,5071.68,38.02
2024-12-01,South,Electronics,Small Business,1219,60465.0,5458.09,15.79,8528.7,14.11
2024-12-01,South,Clothing,Corporate,719,36243.57,2682.42,10.6,9370.86,25.86
2024-12-01,South,Home & Garden,Consumer,354,27629.46,2147.95,16.59,4782.94,17.31
2024-12-01,South,Sports,Corporate,301,22846.14,1203.54,10.88,4809.81,21.05
2024-12-01,South,Books,Consumer,119,11074.41,525.83,4.04,3888.33,35.11
2024-12-01,East,Electronics,Corporate,892,65090.46,2801.42,18.82,8279.95,12.72
2024-12-01,East,Clothing,Consumer,621,44482.86,4532.56,8.49,12216.9,27.46
2024-12-01,East,Home & Garden,Corporate,586,30161.94,2854.43,8.54,7104.5,23.55
2024-12-01,East,Sports,Consumer,429,30140.55,1407.19,7.82,8466.02,28.09
2024-12-01,East,Books,Corporate,353,14397.25,794.32,14.07,4450.29,30.91
2024-12-01,West,Electronics,Consumer,766,54165.43,4239.46,9.21,6026.89,11.13
2024-12-01,West,Clothing,Consumer,438,34190.7,2392.46,20.2,9453.14,27.65
2024-12-01,West,Home & Garden,Consumer,668,32450.1,1478.41,9.09,6888.59,21.23
2024-12-01,West,Sports,Small Business,284,23554.05,1053.64,8.15,5242.26,22.26
2024-12-01,West,Books,Corporate,187,10283.08,879.83,2.03,3651.81,35.51
2025-01-01,North,Electronics,Consumer,1379,53229.46,3862.56,14.1,8222.06,15.45
2025-01-01,North,Clothing,Consumer,772,31488.71,2780.46,12.85,7527.32,23.9
2025-01-01,North,Home & Garden,Small Business,280,23144.57,2003.02,18.18,4228.26,18.27
2025-01-01,North,Sports,Corporate,296,19611.1,2057.01,18.07,3727.19,19.01
2025-01-01,North,Books,Consumer,121,10214.76,499.91,10.45,3471.79,33.99
2025-01-01,South,Electronics,Small Business,1037,41751.09,2555.96,8.07,4836.98,11.59
2025-01-01,South,Clothing,Small Business,357,22057.16,1495.23,14.54,6353.29,28.8
2025-01-01,South,Home & Garden,Small Business,421,24366.38,1822.3,12.41,5599.54,22.98
2025-01-01,South,Sports,Consumer,319,16976.75,1617.92,13.61,3292.23,19.39
2025-01-01,South,Books,Corporate,106,7808.14,692.17,12.14,2446.32,31.33
2025-01-01,East,Electronics,Consumer,529,42779.38,3526.63,16.09,5648.76,13.2
2025-01-01,East,Clothing,Consumer,700,25577.75,1285.18,8.95,7354.46,28.75
2025-01-01,East,Home & Garden,Consumer,370,22554.96,2427.08,14.65,5142.28,22.8
2025-01-01,East,Sports,Corporate,214,15467.53,733.11,5.95,3714.42,24.01
2025-01-01,East,Books,Small Business,95,9028.56,397.9,19.45,2673.35,29.61
2025-01-01,West,Electronics,Consumer,467,35750.79,2028.59,8.93,5152.65,14.41
2025-01-01,West,Clothing,Consumer,345,24809.05,2405.93,12.02,7751.36,31.24
2025-01-01,West,Home & Garden,Consumer,297,16959.38,1184.2,5.17,4201.86,24.78
2025-01-01,West,Sports,Consumer,461,16428.49,1541.84,15.8,2880.2,17.53
2025-01-01,West,Books,Consumer,93,6241.22,363.16,9.27,2084.24,33.39
2025-02-01,North,Electronics,Consumer,691,46890.1,2235.79,14.9,8027.95,17.12
2025-02-01,North,Clothing,Consumer,390,30901.46,2292.17,9.78,8161.24,26.41
2025-02-01,North,Home & Garden,Corporate,267,21892.62,1579.8,3.93,5213.32,23.81
2025-02-01,North,Sports,Small Business,584,21794.26,1539.38,15.39,3905.4,17.92
2025-02-01,North,Books,Consumer,133,11796.44,1016.32,8.97,4271.94,36.21
2025-02-01,South,Electronics,Corporate,664,43627.58,3328.29,14.3,5094.35,11.68
2025-02-01,South,Clothing,Consumer,703,25099.56,1129.18,12.92,6044.38,24.08
2025-02-01,South,Home & Garden,Consumer,412,18735.75,1765.39,6.77,4980.02,26.58
2025-02-01,South,Sports,Corporate,502,18197.83,1065.54,15.59,4059.88,22.31
2025-02-01,South,Books,Corporate,109,7807.45,521.04,10.39,2430.58,31.13
2025-02-01,East,Electronics,Small Business,477,44428.54,1907.61,22.83,4097.17,9.22
2025-02-01,East,Clothing,Corporate,367,30697.98,2521.28,19.64,8482.1,27.63
2025-02-01,East,Home & Garden,Consumer,450,21797.65,2288.01,7.8,4691.81,21.52
2025-02-01,East,Sports,Corporate,175,15480.92,1283.46,10.89,3080.93,19.9
2025-02-01,East,Books,Corporate,114,9817.7,984.68,9.08,3119.4,31.77
2025-02-01,West,Electronics,Corporate,461,37572.2,2714.13,14.45,5962.02,15.87
2025-02-01,West,Clothing,Corporate,272,24849.12,2706.74,5.52,7838.48,31.54
2025-02-01,West,Home & Garden,Consumer,231,18242.74,1002.36,18.19,3941.6,21.61
2025-02-01,West,Sports,Corporate,233,16049.68,976.28,25.01,3010.52,18.76
2025-02-01,West,Books,Consumer,228,8113.27,756.79,11.31,2266.43,27.93
2025-03-01,North,Electronics,Corporate,1086,51291.72,4924.26,7.75,10609.95,20.69
2025-03-01,North,Clothing,Consumer,526,35874.01,1907.12,17.98,8888.04,24.78
2025-03-01,North,Home & Garden,Consumer,449,25608.28,2741.75,15.24,5061.5,19.77
2025-03-01,North,Sports,Corporate,245,21573.61,2186.82,20.63,3583.52,16.61
2025-03-01,North,Books,Corporate,282,9909.64,878.92,3.2,2919.8,29.46
2025-03-01,South,Electronics,Consumer,645,47444.58,2206.62,9.24,10865.94,22.9
2025-03-01,South,Clothing,Consumer,453,32272.14,2557.44,22.03,9185.63,28.46
2025-03-01,South,Home & Garden,Consumer,614,23641.96,2311.08,7.91,5819.98,24.62
2025-03-01,South,Sports,Consumer,295,19496.87,1856.16,16.78,3030.2,15.54
2025-03-01,South,Books,Corporate,128,9090.94,639.83,11.59,2832.63,31.16
2025-03-01,East,Electronics,Corporate,532,43725.6,3696.23,21.27,4783.32,10.94
2025-03-01,East,Clothing,Consumer,636,29314.87,1960.24,21.42,8853.93,30.2
2025-03-01,East,Home & Garden,Small Business,276,25229.19,1536.73,3.16,6220.14,24.65
2025-03-01,East,Sports,Consumer,285,17807.91,1761.83,14.57,3211.03,18.03
2025-03-01,East,Books,Corporate,129,10183.53,718.75,20.86,2742.93,26.93
2025-03-01,West,Electronics,Consumer,458,42354.98,2095.5,15.83,7171.41,16.93
2025-03-01,West,Clothing,Consumer,542,26997.94,1574.5,10.98,7566.46,28.03
2025-03-01,West,Home & Garden,Consumer,566,22012.46,2050.63,19.46,4479.01,20.35
2025-03-01,West,Sports,Small Business,158,14102.84,907.01,16.42,2718.31,19.27
2025-03-01,West,Books,Small Business,116,9109.07,397.68,4.19,2929.17,32.16
2025-04-01,North,Electronics,Corporate,805,55478.56,2988.45,5.73,9809.01,17.68
2025-04-01,North,Clothing,Corporate,403,34676.84,2235.46,8.33,9387.41,27.07
2025-04-01,North,Home & Garden,Consumer,320,25103.49,2515.62,12.31,5983.87,23.84
2025-04-01,North,Sports,Small Business,483,21699.58,992.12,6.64,2873.93,13.24
2025-04-01,North,Books,Consumer,194,11568.39,837.1,16.52,3690.5,31.9
2025-04-01,South,Electronics,Corporate,1317,50184.93,3807.79,11.09,9434.25,18.8
2025-04-01,South,Clothing,Consumer,497,27243.42,1403.84,8.0,8163.98,29.97
2025-04-01,South,Home & Garden,Corporate,271,25505.78,2587.51,10.54,4883.88,19.15
2025-04-01,South,Sports,Corporate,305,19772.74,1536.52,11.61,4233.94,21.41
2025-04-01,South,Books,Corporate,166,8678.64,578.25,12.57,2335.88,26.92
2025-04-01,East,Electronics,Consumer,932,54765.71,5249.51,17.4,7110.5,12.98
2025-04-01,East,Clothing,Small Business,392,33918.18,3008.98,8.78,11008.22,32.46
2025-04-01,East,Home & Garden,Consumer,274,24279.84,1284.3,9.98,5132.78,21.14
2025-04-01,East,Sports,Consumer,227,21103.72,1753.1,12.12,5191.59,24.6
2025-04-01,East,Books,Corporate,154,9338.58,950.06,14.14,3204.97,34.32
2025-04-01,West,Electronics,Small Business,1066,49281.31,5042.37,12.97,6430.68,13.05
2025-04-01,West,Clothing,Consumer,512,27582.79,2474.64,18.59,8378.26,30.37
2025-04-01,West,Home & Garden,Consumer,384,21182.02,1377.8,18.48,4529.97,21.39
